Posisi,Perusahaan,Bidang,Jenjang,Jurusan,Requirement,Link
Staf Teknologi,PT Industri Kereta Api (Persero),Developer Information Technology,Sarjana S1 / Diploma IV,"Teknik Transportasi
Teknik Telekomunikasi
Teknik Tekstil
Teknik Sistem Perkapalan
Teknik Sipil bangunan Gedung
Teknik Sipil (Teknik Sipil SDA)
Teknik Sipil
Teknik Robotika
TEKNIK PERTANIAN
Teknik Perkapalan
Teknik Pengolahan Limbah
Teknik Mesin
Teknik Lingkungan
Teknik Komputer
Teknik Kimia
Teknik Informatika
Teknik Industri
Teknik Grafika
Teknik Geoteknik
Teknik geodesi/geodesi
Teknik Fisika
Teknik Eletromedik
Teknik Elektro
Sarjana Teknik","Menguasai dan mampu mengoperasikan software Auto CAD dan mampu menggambar teknik
Memahami konsep manufaktur 4.0
Memahami sistem mekatronika
Lebih diutamakan memahami robotic system",https://rekrutmenbersama.fhcibumn.id/job/detail/F32617A8126F7846DFF9CF0DF2C4324F
Staf Pengelolaan Proyek,PT Industri Kereta Api (Persero),Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,"Teknik Transportasi
Teknik Telekomunikasi
Teknik Tekstil
Teknik Sistem Perkapalan
Teknik Sipil bangunan Gedung
Teknik Sipil (Teknik Sipil SDA)
Teknik Sipil
Teknik Robotika
TEKNIK PERTANIAN
Teknik Perkapalan
Teknik Pengolahan Limbah
Teknik Mesin
Teknik Lingkungan
Teknik Komputer
Teknik Kimia
Teknik Informatika
Teknik Industri
Teknik Grafika
Teknik Geoteknik
Teknik geodesi/geodesi
Teknik Fisika
Teknik Eletromedik
Teknik Elektro
Sarjana Teknik","Menguasai MS Project dan Project Master Schedule
Memahami penjadwalan, proses produksi, Material Requirement Planning, Supply Chain Management dengan konsep manufacturing 4.0",https://rekrutmenbersama.fhcibumn.id/job/detail/0AD2FA87F75F7D5A34421A49F0C7B847
Staf Information Technology,PT Industri Kereta Api (Persero),Digitalisasi and IT,Sarjana S1 / Diploma IV,"Teknik Transportasi
Teknik Telekomunikasi
Teknik Tekstil
Teknik Sistem Perkapalan
Teknik Sipil bangunan Gedung
Teknik Sipil (Teknik Sipil SDA)
Teknik Sipil
Teknik Robotika
TEKNIK PERTANIAN
Teknik Perkapalan
Teknik Pengolahan Limbah
Teknik Mesin
Teknik Lingkungan
Teknik Komputer
Teknik Kimia
Teknik Informatika
Teknik Industri
Teknik Grafika
Teknik Geoteknik
Teknik geodesi/geodesi
Teknik Fisika
Teknik Eletromedik
Teknik Elektro
Sarjana Teknik","Menguasai bahasa pemrograman dan IT Product Development termasuk Web development, app development
Menguasai Windows servers dan networking, memiliki kemampuan instalasi dan pemahaman tentang troubleshooting jaringan komputer serta perangkat hardware dan software
Menguasai dalam hal Internet of Things(IoT)",https://rekrutmenbersama.fhcibumn.id/job/detail/07ECBDD649EF2DFE6576E314AEB7C5FC
Staf Quality Control Testing,PT Industri Kereta Api (Persero),Engineering and Maintenance,Sarjana S1 / Diploma IV,"Teknik Transportasi
Teknik Telekomunikasi
Teknik Tekstil
Teknik Sistem Perkapalan
Teknik Sipil bangunan Gedung
Teknik Sipil (Teknik Sipil SDA)
Teknik Sipil
Teknik Robotika
TEKNIK PERTANIAN
Teknik Perkapalan
Teknik Pengolahan Limbah
Teknik Mesin
Teknik Lingkungan
Teknik Komputer
Teknik Kimia
Teknik Informatika
Teknik Industri
Teknik Grafika
Teknik Geoteknik
Teknik geodesi/geodesi
Teknik Fisika
Teknik Eletromedik
Teknik Elektro
Sarjana Teknik","Menguasai dan mampu membaca gambar teknik
Memahami Check Sheet Inspection
Memahami system control berbasis mekatronika
Memahami robotic system",https://rekrutmenbersama.fhcibumn.id/job/detail/4B5B56707F555A7DC7FDEADC792C846C
Staf Purchasing,PT Industri Kereta Api (Persero),Logistic / Supply Chain / Asset / GA,Sarjana S1 / Diploma IV,"Teknik Transportasi
Teknik Telekomunikasi
Teknik Tekstil
Teknik Sistem Perkapalan
Teknik Sipil bangunan Gedung
Teknik Sipil (Teknik Sipil SDA)
Teknik Sipil
Teknik Robotika
TEKNIK PERTANIAN
Teknik Perkapalan
Teknik Pengolahan Limbah
Teknik Mesin
Teknik Lingkungan
Teknik Komputer
Teknik Kimia
Teknik Informatika
Teknik Industri
Teknik Grafika
Teknik Geoteknik
Teknik geodesi/geodesi
Teknik Fisika
Teknik Eletromedik
Teknik Elektro
Sarjana Teknik","Memahami bidang purchasing, inventory, serta prosedur pembelian dan pengadaan barang.
Menguasai Supply Chain Management.",https://rekrutmenbersama.fhcibumn.id/job/detail/F14A4F2271060EA616C85981A5AF3165
Staff Non Management Trainee (Staff Operasional),PT Taspen (Persero),Bisnis Niaga / Pemasaran,Diploma III,Semua Jurusan,"IPK minimal 2,75;
Umur Maksimal 27 Tahun;
Berperilaku baik yang dibuktikan dengan Surat Keterangan Catatan Kepolisian (SKCK);
Belum menikah dan bersedia tidak menikah selama masa pendidikan;
Diutamakan putra/putri daerah Indonesia bagian timur;
Memiliki keterampilan berkomunikasi dengan baik;
Diutamakan berpenampilan menarik dan memiliki berat badan proporsional;
Bersedia ditempatkan di seluruh wilayah kerja PT TASPEN (Persero);
Tidak memiliki hubungan kekeluargaan/kekerabatan dengan; 
Ayah/ibu/anak/adik/kakak/menantu dengan Dewan Komisaris dan Direksi PT TASPEN (Persero)
Anak/menantu dari Karyawan PT TASPEN (Persero) yang masih memiliki masa kerja lebih dari 1 (satu) tahun dari Batas Usia Pensiun (BUP) saat tahun penerimaan
Adik/kakak dari Karyawan PT TASPEN (Persero)
Bersedia menjalani ikatan dinas selama 3 (tiga) tahun.",https://rekrutmenbersama.fhcibumn.id/job/detail/84036CF360EF566505B07B0596629333
Data Analyst,PT Waskita Karya (Persero) Tbk,Analyst Research,Sarjana S1 / Diploma IV,"Teknik Informatika
Statistik","Lulusan S1 atau S2
IPK Min. 3,00 (PTN) atau Min 3,25 (PTS) dari Skala 4,00
Bersedia ditempatkan di seluruh Wilayah Operasi Perusahaan dan Anak Perusahaan
Memiliki pengalaman di bidang Data Analyst minimal 2 tahun
Menguasai Skill Machine Learning Capabilities, Data Visualization Capabilities, Data Wrangling Capabilities, Proficient Statistical Skill & Knowledge, Proficient Math Skill & Knowledge, Big Data Processing Capabilities, ETL Capabilities, Programming Skill in Python & R, Good for Working with unstructured Data",https://rekrutmenbersama.fhcibumn.id/job/detail/0BD5C10A4E9DFDC989332399A181A7DE
Data Scientist,PT Waskita Karya (Persero) Tbk,Analyst Research,Sarjana S1 / Diploma IV,"Teknik Informatika
Statistik","Lulusan S1 atau S2
IPK Min. 3,00 (PTN) atau Min 3,25 (PTS) dari Skala 4,00
Bersedia ditempatkan di seluruh Wilayah Operasi Perusahaan dan Anak Perusahaan
Memiliki pengalaman di bidang Data Analyst minimal 2 tahun
Menguasai Skill Machine Learning Capabilities, Data Visualization Capabilities, Data Wrangling Capabilities, Proficient Statistical Skill & Knowledge, Proficient Math Skill & Knowledge, Big Data Processing Capabilities, ETL Capabilities, Programming Skill in Python & R, Good for Working with unstructured Data",https://rekrutmenbersama.fhcibumn.id/job/detail/10B3CA18588D63FE20C1F4BD8A3569C4
Sales Marketing,PT Waskita Karya (Persero) Tbk,Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,"Marketing
Ilmu Komunikasi","Lulusan S1 atau S2
IPK Min. 3,00 (PTN) atau Min 3,25 (PTS) dari Skala 4,00
Bersedia ditempatkan di seluruh Wilayah Operasi Perusahaan dan Anak Perusahaan",https://rekrutmenbersama.fhcibumn.id/job/detail/413BAB3EEA87749B564196C0CAD40E0A
Staf IT,PT Waskita Karya (Persero) Tbk,Digitalisasi and IT,Sarjana S1 / Diploma IV,Teknik Informatika,"Lulusan S1 atau S2
IPK Min. 3,00 (PTN) atau Min 3,25 (PTS) dari Skala 4,00
Bersedia ditempatkan di seluruh Wilayah Operasi Perusahaan dan Anak Perusahaan",https://rekrutmenbersama.fhcibumn.id/job/detail/706A78F4E3DFCC1B23D3C8FEE5A7564A
