Posisi,Perusahaan,Bidang,Jenjang,Induk Perusahaan
Staf Teknologi,PT Industri Kereta Api (Persero),Developer Information Technology,Sarjana S1 / Diploma IV,PT Industri Kereta Api (Persero)
Staf Pengelolaan Proyek,PT Industri Kereta Api (Persero),Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,PT Industri Kereta Api (Persero)
Staf Information Technology,PT Industri Kereta Api (Persero),Digitalisasi and IT,Sarjana S1 / Diploma IV,PT Industri Kereta Api (Persero)
Staf Quality Control Testing,PT Industri Kereta Api (Persero),Engineering and Maintenance,Sarjana S1 / Diploma IV,PT Industri Kereta Api (Persero)
Staf Purchasing,PT Industri Kereta Api (Persero),Logistic / Supply Chain / Asset / GA,Sarjana S1 / Diploma IV,PT Industri Kereta Api (Persero)
Staff Non Management Trainee (Staff Operasional),PT Taspen (Persero),Bisnis Niaga / Pemasaran,Diploma III,PT Taspen (Persero)
Data Analyst,PT Waskita Karya (Persero) Tbk,Analyst Research,Sarjana S1 / Diploma IV,PT Waskita Karya (Persero) Tbk
Data Scientist,PT Waskita Karya (Persero) Tbk,Analyst Research,Sarjana S1 / Diploma IV,PT Waskita Karya (Persero) Tbk
Sales Marketing,PT Waskita Karya (Persero) Tbk,Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,PT Waskita Karya (Persero) Tbk
Staf IT,PT Waskita Karya (Persero) Tbk,Digitalisasi and IT,Sarjana S1 / Diploma IV,PT Waskita Karya (Persero) Tbk
Staf Portofolio,PT Waskita Karya (Persero) Tbk,Keuangan,Sarjana S1 / Diploma IV,PT Waskita Karya (Persero) Tbk
Quantity Surveyor,PT Waskita Karya (Persero) Tbk,Engineering and Maintenance,Sarjana S1 / Diploma IV,PT Waskita Karya (Persero) Tbk
Engineering Officer,PT Waskita Karya (Persero) Tbk,Engineering and Maintenance,Sarjana S1 / Diploma IV,PT Waskita Karya (Persero) Tbk
